,price,property_type,subproperty_type,locality,construction_year,total_area_sqm,nbr_bedrooms,fl_furnished,fl_open_fire,terrace_sqm,garden_sqm,fl_swimming_pool,fl_floodzone,primary_energy_consumption_sqm,heating_type,fl_double_glazing,cadastral_income,kitchen_type,state_of_building
12904,218000.0,APARTMENT,APARTMENT,Brussels,1959.0,70.0,2.0,0,0,15.0,0.0,0,1,90.0,GAS,1,1024.2819538806084,5.0,6.0
12905,145000.0,HOUSE,HOUSE,Oudenaarde,1875.0,168.0,5.0,0,0,0.0,0.0,0,1,672.0,FUELOIL,0,923.2586561018124,2.62612476686592,1.0
12906,299000.0,HOUSE,HOUSE,Turnhout,2001.0,165.0,3.0,0,0,0.0,0.0,0,0,154.0,GAS,1,880.0,3.0,4.0
12907,1795000.0,APARTMENT,APARTMENT,Brugge,2004.0,184.0,4.0,0,0,0.0,0.0,0,0,84.0,GAS,0,1997.0,4.26802713978349,4.6791943578292265
12908,925000.0,HOUSE,VILLA,Nivelles,2001.0,360.0,4.0,0,0,35.0,500.0,0,0,164.0,GAS,1,4082.0,5.0,6.0
12909,355000.0,APARTMENT,APARTMENT,Oostend,1999.0,111.0,2.0,0,0,9.0,0.0,0,0,211.0,ELECTRIC,1,1213.8736225377866,3.5353449231634118,4.0
12910,249000.0,HOUSE,MIXED_USE_BUILDING,Mons,1918.0,330.0,4.0,0,0,20.0,0.0,0,1,249.0,GAS,1,2062.0,3.0,4.0
12911,799000.0,APARTMENT,PENTHOUSE,Gent,2021.0,130.0,2.0,0,0,11.0,0.0,0,1,66.0,GAS,1,1146.0,5.0,4.0
12912,140000.0,APARTMENT,APARTMENT,Liège,2010.0,50.0,1.0,1,0,0.0,0.0,0,0,193.0,ELECTRIC,1,658.0,5.0,6.0
12913,1099000.0,APARTMENT,APARTMENT,Brugge,1960.0,118.0,2.0,0,0,0.0,0.0,0,0,188.0,GAS,1,2243.4809324152093,3.816965430543746,4.0
12914,440000.0,HOUSE,HOUSE,Tournai,1999.0,240.0,5.0,0,1,0.0,0.0,0,1,254.0,GAS,1,996.0,5.0,5.015278511078002
12915,255000.0,APARTMENT,APARTMENT,Nivelles,2005.0,88.0,2.0,0,0,6.0,0.0,0,0,233.0,ELECTRIC,1,1255.0,3.0,4.0
12916,219000.0,APARTMENT,APARTMENT,Antwerp,1953.0,71.0,2.0,0,0,15.0,0.0,0,0,295.0,GAS,1,1025.665834710731,3.4838659056852856,4.0
12917,239000.0,APARTMENT,APARTMENT,Antwerp,1930.0,86.0,2.0,0,0,0.0,0.0,0,1,162.0,GAS,1,745.0,3.0,6.0
12918,365000.0,HOUSE,HOUSE,Gent,1976.0,135.0,3.0,0,0,0.0,0.0,0,0,288.0,FUELOIL,1,793.0,3.0,3.7110510019088263
12919,489000.0,HOUSE,HOUSE,Turnhout,1990.0,254.0,4.0,0,0,40.0,1412.0,0,1,262.0,GAS,1,1399.313648776495,3.6217829662370944,4.12913615963709
12920,379000.0,HOUSE,TOWN_HOUSE,Antwerp,1992.0,155.0,3.0,0,1,0.0,221.0,0,0,160.0,GAS,1,1103.0,3.0,4.0
12921,155000.0,APARTMENT,APARTMENT,Brussels,1977.0,55.0,1.0,0,0,8.0,0.0,0,1,519.0,GAS,0,937.0974639635454,4.0,4.332289819724293
12922,439000.0,APARTMENT,APARTMENT,Oudenaarde,1930.0,400.0,8.0,0,0,20.0,0.0,0,0,271.0,GAS,1,2086.0,3.0,4.0
12923,1235000.0,APARTMENT,APARTMENT,Brugge,2023.0,118.0,3.0,0,0,0.0,0.0,0,0,0.0,GAS,0,2431.6887202422654,3.8684444480218714,4.0
12924,280000.0,APARTMENT,APARTMENT,Brussels,1959.0,110.0,3.0,0,0,0.0,0.0,0,1,155.0,GAS,1,1467.0,3.0,4.0
12925,599000.0,APARTMENT,DUPLEX,Brussels,1914.0,125.0,2.0,0,0,0.0,140.0,0,0,427.0,GAS,1,1551.5405360467153,1.0,1.0
12926,530000.0,HOUSE,HOUSE,Brussels,1949.0,150.0,3.0,0,1,0.0,58.0,0,1,479.0,GAS,1,976.0,4.0,4.0
12927,495000.0,HOUSE,HOUSE,Halle-Vilvoorde,1930.0,161.0,3.0,0,1,0.0,0.0,0,1,561.0,GAS,1,520.0,3.0,4.0
12928,495000.0,HOUSE,VILLA,Brugge,1954.0,234.0,3.0,0,0,0.0,0.0,0,0,208.0,GAS,1,985.0,3.588254475579249,4.0
